City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mehamn,71.0357,27.8492,-9.05,62,36,5.66,NO,1678106192
1,port alfred,-33.5906,26.891,23.99,81,5,2.68,ZA,1678106466
2,cahors,44.4167,1.3333,8.97,55,10,3.75,FR,1678106466
3,ponta do sol,32.6667,-17.1,21.67,94,84,2.86,PT,1678106468
4,palmer,42.1584,-72.3287,3.61,65,0,8.23,US,1678106502
5,avarua,-21.2078,-159.775,28.03,89,40,6.69,CK,1678106707
6,victoria,22.2855,114.1577,20.67,59,0,5.36,HK,1678106596
7,yar-sale,66.8333,70.8333,-23.61,100,100,1.31,RU,1678105998
8,rikitea,-23.1203,-134.9692,26.77,77,100,9.86,PF,1678106708
9,puerto ayora,-0.7393,-90.3518,23.64,95,92,0.45,EC,1678106336
10,bethel,41.3712,-73.414,4.72,81,12,0.45,US,1678106222
11,norman wells,65.282,-126.8329,-33.98,75,40,1.54,CA,1678106142
12,busselton,-33.65,115.3333,17.23,68,0,6.32,AU,1678106709
13,pevek,69.7008,170.3133,-37.07,99,44,2.71,RU,1678106125
14,hermanus,-34.4187,19.2345,21.0,76,100,6.15,ZA,1678106144
15,lincoln,40.8,-96.667,2.29,92,100,7.6,US,1678106136
16,bandundu,-3.3167,17.3667,37.56,35,23,0.6,CD,1678106472
17,hilo,19.7297,-155.09,22.38,90,0,2.06,US,1678106007
18,kodiak,57.79,-152.4072,-4.27,80,0,3.6,US,1678106220
19,kenai,60.5544,-151.2583,-9.36,89,0,1.54,US,1678106474
20,saint george,37.1041,-113.5841,5.14,62,0,2.57,US,1678105935
21,atuona,-9.8,-139.0333,26.49,81,19,5.64,PF,1678106712
22,chipinge,-20.1883,32.6236,25.66,57,6,2.18,ZW,1678106315
23,marawi,7.9986,124.2928,19.98,98,100,1.43,PH,1678106253
24,hailar,49.2,119.7,-14.05,89,60,2.56,CN,1678106475
25,kununurra,-15.7667,128.7333,29.99,79,40,3.6,AU,1678106476
26,bridlington,54.0831,-0.1919,8.83,78,100,6.65,GB,1678106183
27,airai,-8.9266,125.4092,15.06,90,100,0.69,TL,1678106335
28,hami,42.8,93.45,11.94,27,6,3.61,CN,1678106152
29,vaini,-21.2,-175.2,25.09,88,75,2.57,TO,1678106714
30,upernavik,72.7868,-56.1549,-6.71,84,33,1.95,GL,1678106150
31,tuktoyaktuk,69.4541,-133.0374,-32.84,100,11,2.52,CA,1678106715
32,wilmington,34.2257,-77.9447,13.25,87,0,0.0,US,1678106249
33,ushuaia,-54.8,-68.3,5.81,81,0,2.06,AR,1678106715
34,butaritari,3.0707,172.7902,26.38,80,28,3.35,KI,1678106716
35,yulara,-25.2406,130.9889,26.95,28,6,9.95,AU,1678106148
36,ponta delgada,37.7333,-25.6667,16.4,88,20,7.2,PT,1678106273
37,san patricio,28.017,-97.5169,22.92,94,16,2.22,US,1678106179
38,makakilo city,21.3469,-158.0858,23.18,84,40,4.63,US,1678106479
39,campbell river,50.0163,-125.2446,2.47,77,100,1.76,CA,1678106479
40,mataura,-46.1927,168.8643,7.19,99,16,1.14,NZ,1678106718
41,ryotsu,38.0833,138.4333,6.62,70,0,2.54,JP,1678106480
42,torbay,47.6666,-52.7314,-0.79,84,100,0.45,CA,1678106718
43,te anau,-45.4167,167.7167,9.1,90,32,1.04,NZ,1678106205
44,alausi,-2.2,-78.8333,10.22,94,100,0.75,EC,1678106481
45,qaanaaq,77.484,-69.3632,-6.99,95,99,0.85,GL,1678106719
46,hobart,-42.8794,147.3294,15.92,62,20,3.6,AU,1678106124
47,longyearbyen,78.2186,15.6401,-15.09,51,20,8.23,SJ,1678106720
48,fatick,14.3581,-16.5858,37.27,8,99,3.85,SN,1678106482
49,ilulissat,69.2167,-51.1,-2.99,68,40,0.0,GL,1678106151
50,iqaluit,63.7506,-68.5145,-4.15,93,100,3.09,CA,1678106134
51,nikolskoye,59.7035,30.7861,-0.68,82,100,3.29,RU,1678106721
52,asau,46.4333,26.4,6.51,40,100,4.71,RO,1678106213
53,lebu,-37.6167,-73.65,16.23,86,2,2.98,CL,1678106722
54,kieta,-6.2167,155.6333,26.41,85,100,2.38,PG,1678106230
55,najran,17.4924,44.1277,30.36,16,0,6.51,SA,1678106323
56,barrow,71.2906,-156.7887,-9.99,85,100,7.2,US,1678106723
57,albany,42.6001,-73.9662,2.42,72,10,5.36,US,1678106503
58,upata,8.0086,-62.3989,21.77,61,100,4.21,VE,1678106485
59,bambous virieux,-20.3428,57.7575,28.14,78,75,3.09,MU,1678106157
60,mallaig,54.2169,-111.3685,-19.84,98,100,2.29,CA,1678106486
61,chokurdakh,70.6333,147.9167,-44.32,100,63,0.7,RU,1678106724
